variable_name,correct_answer
savings_interest,"More than $112"
inflation_effect,"Less than today"
bid_price_definition,"The highest price a buyer is currently willing to pay."
mortgage_comparison,"True"
asset_fluctuations,"Stocks"
investment_risk,"Decrease"
long_term_returns,"Stocks"
stock_mutual_fund_loss,"True"
bid_ask_spread,"The difference between the lowest ask price and the highest bid price."
mutual_fund_statements,"Mutual funds can invest in several assets, for example invest in both stocks and bonds"
bond_investment,"She has lent money to firm B"
credit_card_payment,"Never"